id,name,location,latitude,longitude,rating,priceCategory,type,img,link
95943,La Chebaudière,Auray,47.6638622,-2.9819532,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5b868d997b9d4deaa865f65c131f1875.jpeg,https://guide.michelin.com/us/en/bretagne/auray/restaurant/la-chebaudiere
95942,Utopie,Gueberschwihr,48.0036985,7.2750253,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/722e07b8fd474f03b0a1c3e3af54bb90.jpeg,https://guide.michelin.com/us/en/grand-est/gueberschwihr_1540168/restaurant/utopie-1209153
95941,L'Escudella,Paris,48.8504724,2.3091433,0,2,Modern Cuisine,,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/l-escudella
95940,Le Lien,Belfort,47.6348726,6.8573844,0,2,Modern Cuisine,,https://guide.michelin.com/us/en/bourgogne-franche-comte/belfort/restaurant/le-lien
95939,Séquence,Caen,49.17784,-0.35874,0,3,Modern Cuisine,,https://guide.michelin.com/us/en/normandie/caen/restaurant/sequence
95938,Enfin,Barr,48.4049121,7.4254505,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2720011a80a54ee59b3f012f17a83891.jpg,https://guide.michelin.com/us/en/grand-est/barr/restaurant/enfin
95937,Regain,Lyon,45.767117,4.8303952,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/607329d9fcd046bbad68e8aace9b9f87.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/lyon/restaurant/regain
95936,Cascade,Salles-la-Source,44.4378842,2.5135244,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/48fd371c4ed64280a73d2d2d480c9b43.jpeg,https://guide.michelin.com/us/en/occitanie/salles-la-source_1499588/restaurant/cascade
95935,Ro'cha,Le Bouscat,44.8561461,-0.6017544,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/da03bcecba6c4848a22f02b3da87c503.jpeg,https://guide.michelin.com/us/en/nouvelle-aquitaine/le-bouscat_1486169/restaurant/ro-cha
95934,Goxoki,Bayonne,43.4907577,-1.4724923,0,2,Traditional Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2fc5b4eff2994410aa404eeb4e79c31c.jpeg,https://guide.michelin.com/us/en/nouvelle-aquitaine/bayonne/restaurant/goxoki
95933,Choral,Annecy,45.9097943,6.1202043,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/92e33f9e6a0c4299a6c5fed5315f504c.jpeg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/annecy/restaurant/choral
95932,Les Gueules Noires,Vouvray,47.4210532,0.7819161,0,2,Traditional Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1bc30239a81f47fda2fe4d9e9c254ba9.jpeg,https://guide.michelin.com/us/en/centre-val-de-loire/vouvray/restaurant/les-gueules-noires
95931,Nous Restaurant,Quimper,47.9954831,-4.107253,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fd215c6dacf6466c832ca64210066045.jpg,https://guide.michelin.com/us/en/bretagne/quimper/restaurant/nous-restaurant
95930,Les Toits - Hôtel de Paris Saint-Tropez,Saint-Tropez,43.2695969,6.6359426,0,4,Mediterranean Cuisine,,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/saint-tropez/restaurant/les-toits-hotel-de-paris-saint-tropez
95929,L'EssenCiel,Fougères,48.3516089,-1.1976562,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4dfb46316ba74f07907774add07f3b6a.jpeg,https://guide.michelin.com/us/en/bretagne/fougres/restaurant/l-essenciel
95928,L'ExtrA,Reims,49.2599978,4.0333057,0,2,Modern Cuisine,,https://guide.michelin.com/us/en/grand-est/reims/restaurant/l-extra
95927,Gric,Orléans,47.8985491,1.9069486,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/832004a7e05d494ab6783eac7493f6aa.jpeg,https://guide.michelin.com/us/en/centre-val-de-loire/orleans/restaurant/gric
95926,Cadet,Nancy,48.68205,6.16604,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d183d2bdbc2f4e3088324350b77e8dd4.jpg,https://guide.michelin.com/us/en/grand-est/nancy/restaurant/cadet
95925,Chez Loustic,Toulouse,43.598755,1.43292,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/53b954dc46074d28bb5543bcc73f2e11.jpeg,https://guide.michelin.com/us/en/occitanie/toulouse/restaurant/chez-loustic
95924,Agapes,Toulouse,43.6047,1.4509752,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b8fe634169af4c3fa7a43fb4a11c912b.jpeg,https://guide.michelin.com/us/en/occitanie/toulouse/restaurant/agapes
