id,name,location,country,latitude,longitude,rating,priceCategory,type,img,link
97723,Aux Terrasses,Tournus,France,46.5590372,4.9143701,1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7e86c4fbc0ef4e31b550bc2fa6109ad3.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/tournus/restaurant/aux-terrasses
97722,Ar Men Du,Névez,France,47.7888421,-3.7999121,1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7bbff7b545c0473f974c2137e08494b2.jpg,https://guide.michelin.com/us/en/bretagne/nevez/restaurant/ar-men-du
97715,La Bastide de Moustiers,Moustiers-Sainte-Marie,France,43.8384829,6.2182274,1,3,Provençal,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/884ce5ad98db4af9a442f359e13cf601.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/moustiers-sainte-marie/restaurant/la-bastide-de-moustiers
97710,La Grenouillère,La Madelaine-sous-Montreuil,France,50.4710226,1.7544175,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f8a8c633130448709556632a2da77d2d.jpg,https://guide.michelin.com/us/en/hauts-de-france/la-madelaine-sous-montreuil/restaurant/la-grenouillere
97597,Scratch Restaurant,Bourg-en-Bresse,France,46.2034164,5.2252789,-1,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7f03c847e3eb42ce9bd60743303c1346.jpeg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/bourg-en-bresse/restaurant/scratch-restaurant
97594,Thierry Schwartz - Le Restaurant,Obernai,France,48.4604843,7.4837134,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ad9f7ae1d86547b6b79d1442b72da4f5.jpg,https://guide.michelin.com/us/en/grand-est/obernai/restaurant/thierry-schwartz-le-restaurant
97579,Maison Caillet,Valmont,France,49.7446677,0.4919745,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9c0902b7fbe642cb93046a44f0db88ae.jpeg,https://guide.michelin.com/us/en/normandie/valmont/restaurant/maison-caillet
97562,Maison Aribert,Uriage-les-Bains,France,45.1417394,5.8315479,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b7141416b12b41bab066e0a838fdee09.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/uriage-les-bains/restaurant/maison-aribert
97499,Empreinte,Vannes,France,47.6568734,-2.7574306,-1,2,Farm to table,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/bb58a94b34b54a42aacab225671f5d09.jpeg,https://guide.michelin.com/us/en/bretagne/vannes/restaurant/empreinte-1190660
97495,Holen,Rennes,France,48.1083789,-1.676248,1,3,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e765366df4964203a1ae241b2e060d8b.jpg,https://guide.michelin.com/us/en/bretagne/rennes/restaurant/holen
97490,Reflet d'Obione,Montpellier,France,43.6122303,3.8730671,1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0a313313bc9f49668e909e629827fec0.jpeg,https://guide.michelin.com/us/en/occitanie/montpellier/restaurant/reflet-d-obione
97457,Äponem - Auberge du Presbytère,Vailhan,France,43.5545013,3.2986749,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/365783e2cf3e44b1a4b0f9db81bf05a1.jpg,https://guide.michelin.com/us/en/occitanie/vailhan/restaurant/aponem-auberge-du-presbytere
97421,La Galinette,Perpignan,France,42.7024784,2.8932142,1,3,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4fe5351e46f04900a5d2f7784bd8b18a.jpeg,https://guide.michelin.com/us/en/occitanie/perpignan/restaurant/la-galinette
97343,En Pleine Nature,Quint-Fonsegrives,France,43.585293,1.5294347,1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9dd9d82f73c34e78bba6f6950e3414ce.jpg,https://guide.michelin.com/us/en/occitanie/quint-fonsegrives/restaurant/en-pleine-nature
97300,David Toutain,Paris,France,48.8602663,2.3097038,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/808d0c092628445ba325617680550ed4.png,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/david-toutain
97242,Art'zain,Irissarry,France,43.2570495,-1.2325073,0,2,Farm to table,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/63053855d3054586ac98e3eb4523d3cc.jpg,https://guide.michelin.com/us/en/nouvelle-aquitaine/irissarry/restaurant/art-zain
97234,Serge Vieira,Chaudes-Aigues,France,44.8442761,3.0019613,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/51b2fc2230df448ab38b13510cc931c8.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/chaudes-aigues/restaurant/serge-vieira
97210,Château de Beaulieu - Christophe Dufossé,Busnes,France,50.581874,2.5070873,2,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9cf240cc976846dc86ff61d3497e7e28.jpg,https://guide.michelin.com/us/en/hauts-de-france/busnes/restaurant/meurin
97166,Septime,Paris,France,48.8536287,2.3806905,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/91fa3530369e4e9ba284384acb08e9a8.jpeg,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/septime
97129,La Côte Saint-Jacques,Joigny,France,47.9833796,3.3853151,2,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/99a3aba73c9140c0ac4b971b019d93ed.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/joigny/restaurant/la-cote-saint-jacques
97097,Le George,Paris,France,48.8687251,2.3007485,1,4,Italian,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ef3841f9e020445c919da091d601c585.jpg,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/le-george
97092,Table - Bruno Verjus,Paris,France,48.8486151,2.3759654,2,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f70d194f88264143a2fe9517aa5663d7.jpg,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/table-bruno-verjus
97084,Jean Sulpice,Talloires-Montmin,France,45.8393308,6.210543,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c7dc51ab73cf4bd3bc0cf428c1191eca.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/talloires-montmin/restaurant/jean-sulpice
97048,Auberge Frankenbourg,La Vancelle,France,48.2836435,7.3026266,1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/aba3111d2ee14d829069eac2c37cc088.jpeg,https://guide.michelin.com/us/en/grand-est/la-vancelle/restaurant/auberge-frankenbourg
97010,L'Ostal,Clermont-Ferrand,France,45.7810567,3.0879692,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/acadb79d744543b3b7edfc9c8bd3202c.jpeg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/l-ostal
96991,La Mirande,Avignon,France,43.9501365,4.8076612,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e9b7e56d4934420a9c004ce46c604466.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/avignon/restaurant/la-mirande
96982,La Cour de Rémi,Bermicourt,France,50.4062836,2.2291703,0,2,Traditional Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1063887f657a4a2fbbac2bf49fcc122a.jpeg,https://guide.michelin.com/us/en/hauts-de-france/bermicourt/restaurant/la-cour-de-remi
96976,Sandikala,Galan,France,43.2200212,0.4108894,-1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/20a21d089ce24de7ae36c4742d68e9bf.jpeg,https://guide.michelin.com/us/en/occitanie/galan/restaurant/sandikala
96970,Le Doyenné,Saint-Vrain,France,48.5375413,2.3259764,-1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5ad7f5a4085a4fc68a65c12aa9c1bf6a.jpg,https://guide.michelin.com/us/en/ile-de-france/saint-vrain/restaurant/le-doyenne
96969,Jardin Secret,Cotignac,France,43.5271329,6.1488922,-1,3,Provençal,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/685d08b2f33d4ec2b4a7ed971a2a0381.jpg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/cotignac/restaurant/jardin-secret
96920,L'Auberge de Montmin,Talloires-Montmin,France,45.8072811,6.2486842,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/956daea2821246c587c7f034f6ed46cb.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/talloires-montmin/restaurant/l-auberge-de-montmin
96891,Ursus,Tignes,France,45.4579161,6.9011983,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ed659ad052644ac6b7e2fed22b77392e.jpeg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/tignes/restaurant/ursus
96841,Alchémille,Kaysersberg,France,48.1487566,7.2500389,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ed2b35c2868d4a36943422c8c0413afd.jpeg,https://guide.michelin.com/us/en/grand-est/kaysersberg/restaurant/l-alchemille
96827,Arpège,Paris,France,48.8557538,2.3170127,3,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8a8021cf334c4f91a5518b841d97e52e.jpeg,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/arpege
96809,Le Jardin de Berne,Flayosc,France,43.5164138,6.3660986,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/bb4434c91e55405f844da64fccdedc4b.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/flayosc/restaurant/le-jardin-de-berne
96808,G.a. au Manoir de Rétival,Caudebec-en-Caux,France,49.5249389,0.7348884,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b507b14767b044c0826da1a7759b70b6.jpeg,https://guide.michelin.com/us/en/normandie/caudebec-en-caux/restaurant/g-a-au-manoir-de-retival
96741,Villa Pinewood,Payrin-Augmontel,France,43.5272455,2.347021,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8eb4c4c2263f495295938f809133ebcb.jpg,https://guide.michelin.com/us/en/occitanie/payrin-augmontel/restaurant/villa-pinewood
96721,Auberge Sauvage,Servon,France,48.6007516,-1.4196972,-1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/16046b1abe4a4a98b480ec1c0c09289b.jpg,https://guide.michelin.com/us/en/normandie/servon/restaurant/auberge-sauvage
96714,Caves Madeleine,Beaune,France,47.0214283,4.8407778,-1,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/330392ab254e48fa8d1062a8e99c38e3.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/beaune/restaurant/caves-madeleine
96681,Lait Thym Sel,Angers,France,47.4745869,-0.5512482,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6e780d29833849a399d8309f4c2cd9a3.jpeg,https://guide.michelin.com/us/en/pays-de-la-loire/angers/restaurant/lait-thym-sel
96647,Bellefeuille - Saint James Paris,Paris,France,48.8704851,2.2797777,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/af4b6046096242c6ae8eaead6b4c7dec.jpeg,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/bellefeuille-saint-james-paris
96604,Restaurant Marcon,Saint-Bonnet-le-Froid,France,45.1386734,4.4342679,3,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cdab3b39b1794a388d39c22859d1df2f.jpeg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/saint-bonnet-le-froid/restaurant/restaurant-marcon
96594,Ima,Rennes,France,48.106684,-1.684632,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/369d3268d263446cb142e6c98d3dee30.jpeg,https://guide.michelin.com/us/en/bretagne/rennes/restaurant/ima
96592,La Table du Gourmet,Riquewihr,France,48.1664136,7.2972837,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6a9a2f34c84140afbb86d24b47ea917a.jpg,https://guide.michelin.com/us/en/grand-est/riquewihr/restaurant/la-table-du-gourmet
96579,Toya,Faulquemont,France,49.0564967,6.627029,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5efabdc3a8824825aea726d37dd3fcdc.jpeg,https://guide.michelin.com/us/en/grand-est/faulquemont/restaurant/toya
96528,L'Étang du Moulin,Bonnétage,France,47.1975481,6.7214393,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d299e8805d9e445b8aa0bb08b9ede976.jpg,https://guide.michelin.com/us/en/bourgogne-franche-comte/bonntage/restaurant/l-etang-du-moulin
96526,Le Skiff Club,Pyla-sur-Mer,France,44.606014,-1.20669,2,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cad35a806fb245fcb1e8b5a7c851457d.jpeg,https://guide.michelin.com/us/en/nouvelle-aquitaine/pyla-sur-mer/restaurant/le-skiff-club
96524,Le Prince Noir - Vivien Durand,Lormont,France,44.8779637,-0.5291046,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e6de59062aaf4e33937908d17c1d4ad5.jpeg,https://guide.michelin.com/us/en/nouvelle-aquitaine/lormont/restaurant/le-prince-noir-vivien-durand
96423,Les Belles Perdrix de Troplong Mondot,Saint-Emilion,France,44.8884848,-0.1407129,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/604c8ad37d474a709cbc3ac157aa8156.jpeg,https://guide.michelin.com/us/en/nouvelle-aquitaine/saint-milion/restaurant/les-belles-perdrix-de-troplong-mondot
96328,Le Saltimbanque - Auberge du Moulin,Eaucourt-sur-Somme,France,50.07127,1.88764,-1,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c8977ec135594552a3c558c1fc7a48a3.jpeg,https://guide.michelin.com/us/en/hauts-de-france/eaucourt-sur-somme/restaurant/auberge-du-moulin-le-saltimbanque
96318,L'Oustau de Baumanière,Les Baux-de-Provence,France,43.7402659,4.7873628,3,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/232b93346477492496ef1f007be0d060.jpg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/les-baux-de-provence/restaurant/l-oustau-de-baumaniere
96284,Assa,Blois,France,47.5915007,1.3362808,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f6c0c794821e4af485d398d215381494.jpeg,https://guide.michelin.com/us/en/centre-val-de-loire/blois/restaurant/assa
96188,L'Or Q'idée,Pontoise,France,49.0501575,2.0976083,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/badcf9794b4142799f74a448dd3bcaf0.jpg,https://guide.michelin.com/us/en/ile-de-france/pontoise/restaurant/l-or-q-idee
96183,Le Saint Cerf,Besançon,France,47.2364281,6.0229271,-1,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a5268a8a292b48a3b374719613ee2e40.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/besancon/restaurant/le-saint-cerf
96149,Au Vieux Couvent,Rhinau,France,48.317236,7.7069299,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/83f9e5dfbc9d47d8938d6bdde06ea627.jpg,https://guide.michelin.com/us/en/grand-est/rhinau/restaurant/au-vieux-couvent
96147,Troisgros - Le Bois sans Feuilles,Ouches,France,46.01033,3.99236,3,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2b0e5bc8d294447785521a736f345fd4.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/ouches/restaurant/troisgros-le-bois-sans-feuilles
96143,Christopher Coutanceau,La Rochelle,France,46.1553629,-1.1599181,2,4,Seafood,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/37bdd02646ec4492ba92ef086b4d3e9f.jpeg,https://guide.michelin.com/us/en/nouvelle-aquitaine/la-rochelle/restaurant/christopher-coutanceau
96133,La Table d'Hôtes - La Rôtisserie du Chambertin,Gevrey-Chambertin,France,47.2240872,4.969631,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e83cf47df0614f859575b673a12d728a.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/gevrey-chambertin/restaurant/la-table-d-hote
96104,L'Oustalet,Gigondas,France,44.1636336,5.0044798,1,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6d6acce74552459cac32b1b0b07e316a.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/gigondas/restaurant/l-oustalet
96100,Prairial,Lyon,France,45.7415161,4.8229022,1,3,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7f36627a283d4425a3f2cda91c3303f3.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/lyon/restaurant/prairial
96045,Cyril Attrazic,Aumont-Aubrac,France,44.7169426,3.2877885,2,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c60d910974e44f089ce9b320448c35fc.jpg,https://guide.michelin.com/us/en/occitanie/aumont-aubrac/restaurant/cyril-attrazic
96033,Ruche,Gambais,France,48.7905592,1.6956604,-1,3,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/33a9344ea5c64c58a566527408fe928e.jpeg,https://guide.michelin.com/us/en/ile-de-france/gambais/restaurant/ruche
96023,Domaine du Châtelard,Dirac,France,45.6179919,0.2289223,-1,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4579417c813c4a55957ca8bc4c5bdfe9.png,https://guide.michelin.com/us/en/nouvelle-aquitaine/dirac/restaurant/domaine-du-chatelard
95889,Les Jardiniers,Ligré,France,47.1376164,0.2783905,-1,2,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2fa49c390e6749479d0c037a0943e8b5.jpg,https://guide.michelin.com/us/en/centre-val-de-loire/ligre_1583134/restaurant/les-jardiniers
95868,Fontevraud L'Ermitage,Fontevraud-l'Abbaye,France,47.1797597,0.0524964,1,4,Creative,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4030696ddb5c40a3b8527190de00f128.jpeg,https://guide.michelin.com/us/en/pays-de-la-loire/fontevraud-l-abbaye/restaurant/fontevraud-le-restaurant
95865,Le Clair de la Plume,Grignan,France,44.4195003,4.9071356,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4db8d62f8e6841dbacac080088833809.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/grignan/restaurant/le-clair-de-la-plume
